"task","cohort","source","model","conditionalModel","model_prevalence_numerator","model_prevalence_denominator","model_prevalence_estimate","f1","f1_lb_boot","f1_ub_boot","ppv","ppv_lb_boot","ppv_ub_boot","npv","npv_lb_boot","npv_ub_boot","recall","recall_lb_boot","recall_ub_boot","specificity","specificity_lb_boot","specificity_ub_boot","w","w_lb_boot","w_ub_boot","mcc","mcc_lb_boot","mcc_ub_boot","calibrated_f1","calibrated_f1_lb_boot","calibrated_f1_ub_boot","calibrated_precision","calibrated_precision_lb_boot","calibrated_precision_ub_boot","N_val","N_valPos","N_valNeg","N_modelPos_valPos_conditionalPos","N_modelPos_valPos_conditionalNeg","N_modelPos_valNeg_conditionalPos","N_modelPos_valNeg_conditionalNeg","N_modelNeg_valPos_conditionalPos","N_modelNeg_valPos_conditionalNeg","N_modelNeg_valNeg_conditionalPos","N_modelNeg_valNeg_conditionalNeg","BDJ_pos_AD_pos","BDJ_pos_AD_neg","BDJ_neg_AD_pos","BDJ_neg_AD_neg","cohensKappa","cohensKappa_lb_boot","cohensKappa_ub_boot","median_nChar","mean_nChar","N_modelPos","N_modelNeg","ppv_lowerBound_analytical","ppv_upperBound_analytical","npv_lowerBound_analytical","npv_upperBound_analytical","ppv_lowerBound","npv_lowerBound","ppv_upperBound","npv_upperBound","hidden_sort","Task","Cohort","Source","Model","Input","Model prevalence estimate","PPV (LB - UB)","NPV (LB - UB)","PPVc","Recall (Sensitivity)","Specificity","F1","F1c","MCC","Cohen's kappa"
"invasive crc","ibd","MVP","gemma2_9B_SPPO","either",156,607,0.257001647446458,0.980392156862745,0.963449653117061,0.993827160493827,0.961538461538462,0.92947695035461,0.987730061349693,1,1,1,1,1,1,0.986870897155361,0.976187104901361,0.995773789366746,0.257001647446458,0.257001647446458,0.257001647446458,0.974122335329525,0.952545753617413,0.991743770366939,0.993129569276843,0.987047647294183,0.997856171066555,0.986352900008748,0.974426531475364,0.995721514474171,307,150,157,150,0,6,0,0,0,3,148,147,4,13,143,0.889327141251564,0.837086534085556,0.934877603835221,966,1208.15960912052,156,151,0.918167683421513,0.985756654790001,0.975866323809774,1,0.918167683421513,0.975866323809774,0.987730061349693,1,1,"CRC","IBD","MVP","gemma2_9B_SPPO","Microscopic exam","0.257","0.962 (0.92 - 0.99)","1.000 (0.98 - 1.00)","0.986","1.000","0.987","0.980","0.993","0.974","0.889"
"invasive crc","ibd","MVP","llama3_8B","either",152,607,0.250411861614498,0.95364238410596,0.932972851101206,0.972139585105547,0.947368421052632,0.909090909090909,0.979865771812081,0.986813186813187,0.984615384615385,0.992307692307692,0.96,0.952365145228216,0.976099734332465,0.982494529540481,0.970191694857087,0.993215093441257,0.250411861614498,0.250411861614498,0.250411861614498,0.93832886293179,0.911787229387163,0.962830746224256,0.971117265077663,0.962377781867472,0.980711597959808,0.982495033541589,0.968970072048151,0.993421562877505,307,150,157,144,0,8,0,6,0,1,148,147,4,13,143,0.889327141251564,0.83694151139816,0.934861022703162,966,1208.15960912052,152,155,0.898930262898741,0.97700651228527,0.954168110399616,0.998433521741772,0.898930262898741,0.954168110399616,0.979865771812081,0.998433521741772,1,"CRC","IBD","MVP","llama3_8B","Microscopic exam","0.250","0.947 (0.90 - 0.98)","0.987 (0.95 - 1.00)","0.982","0.960","0.982","0.954","0.971","0.938","0.889"
"invasive crc","ibd","MVP","llama3.2_3B","either",NA,NA,0.217507458034641,0.87934834690944,0.83372885926894,0.919463087248322,0.939201637666325,0.881529374810681,0.984848484848485,0.945260043245704,0.926428075076317,0.962850709750155,0.826666666666667,0.763153021442495,0.884060180275716,0.982435389437578,0.964662222329424,0.995682867227803,0.217507458034641,0.199076011931888,0.236601079468982,0.845943121357068,0.789240540803297,0.896682192505956,0.899057252649104,0.860270373309383,0.932477991309029,0.985343007981539,0.967841688417078,0.996621068190687,307,150,157,124,0,5,1,26,0,4,147,147,4,13,143,0.889327141251564,0.836656426147935,0.93487207772922,966,1208.15960912052,130,177,0.88234476658615,0.973060303874071,0.898555799921257,0.972578107387956,0.881529374810681,0.898555799921257,0.984848484848485,0.972578107387956,1,"CRC","IBD","MVP","llama3.2_3B","Microscopic exam","0.218","0.939 (0.88 - 0.98)","0.945 (0.90 - 0.97)","0.985","0.827","0.982","0.879","0.899","0.846","0.889"
"invasive crc","ibd","MVP","gemma2_2B","either",NA,NA,0.230687029698562,0.903364085360172,0.862139319132028,0.938776378448376,0.935533680756611,0.879998814853543,0.979452054794521,0.95931242041903,0.941964870651487,0.975243735702117,0.873333333333334,0.817566334582758,0.92405281536447,0.980247205630138,0.961688814880382,0.993780310684045,0.230687029698562,0.213641429397656,0.247997238118879,0.873969803443382,0.821150183088947,0.920067469130202,0.924605853022255,0.892331894413592,0.952329531671748,0.982274180008198,0.963524750126633,0.994816157142342,307,150,157,131,0,6,1,19,0,3,147,147,4,13,143,0.889327141251564,0.836580258249199,0.934877603835221,966,1208.15960912052,138,169,0.879807844392778,0.969747266687957,0.916523272629911,0.983187280151627,0.879807844392778,0.916523272629911,0.979452054794521,0.983187280151627,1,"CRC","IBD","MVP","gemma2_2B","Microscopic exam","0.231","0.936 (0.88 - 0.98)","0.959 (0.92 - 0.98)","0.982","0.873","0.980","0.903","0.925","0.874","0.889"
"invasive crc","ibd","MVP","llama3_8B_full","either",NA,NA,0.245093689686646,0.910632761989692,0.861613521668164,0.951120114180284,0.909762764733134,0.83496100111627,0.970588235294118,0.971323244914189,0.953601442710239,0.987150166157476,0.911504424778761,0.854700854700855,0.961174383868559,0.970721048550557,0.944168045476968,0.990694498634413,0.245093689686646,0.227172661136301,0.265816267431939,0.881655557406037,0.818031180892184,0.935364830534696,0.940538860350482,0.908570313829696,0.96752963300856,0.971483838964524,0.940973106402061,0.991441394381008,227,113,114,103,0,7,1,10,0,1,105,111,2,12,102,0.876697447039652,0.807565592002126,0.937873871056027,5140,5623.29955947137,111,116,0.84055759107196,0.955949049974649,0.926278694864236,0.994634531653958,0.83496100111627,0.926278694864236,0.970588235294118,0.994634531653958,1,"CRC","IBD","MVP","llama3_8B_full","Full pathology report","0.245","0.910 (0.83 - 0.97)","0.971 (0.93 - 0.99)","0.971","0.912","0.971","0.911","0.941","0.882","0.877"
"invasive crc","ibd","MVP","gemma2_9B_SPPO_full","either",NA,NA,0.292428297031539,0.894866697535234,0.836985593750196,0.948708123494635,0.821725277225557,0.730740945472419,0.915400491378038,0.993880969721438,0.984384603466871,1,0.982300884955753,0.954545454545455,1,0.93098447851342,0.885871418194755,0.969754349558198,0.292428297031539,0.265045181606808,0.32543550290167,0.863065030974326,0.790768784987612,0.932132381183577,0.949625312399593,0.91226041835874,0.97777561237554,0.919053617295901,0.852707048537712,0.967681848241375,227,113,114,111,0,8,5,2,0,0,101,111,2,12,102,0.876697447039652,0.812741953287377,0.937873871056027,5140,5623.29955947137,124,103,0.743798867117411,0.885344156063034,0.947091713259796,0.999754226246306,0.730740945472419,0.947091713259796,0.915400491378038,1,1,"CRC","IBD","MVP","gemma2_9B_SPPO_full","Full pathology report","0.292","0.822 (0.73 - 0.92)","0.994 (0.95 - 1.00)","0.919","0.982","0.931","0.895","0.950","0.863","0.877"
"invasive crc","ibd","MVP","either","either",159,607,0.261943986820428,0.970873786407767,0.949640287769784,0.987577639751553,0.943396226415094,0.904109589041096,0.975460122699387,1,1,1,1,1,1,0.980306345733042,0.967087559511488,0.991365734455607,0.261943986820428,0.261943986820428,0.261943986820428,0.961674220978873,0.935068519412716,0.983380771101425,0.98946484970294,0.981526664342977,0.995555555555556,0.979149363990034,0.9637234770705,0.991150442477876,307,150,157,150,0,9,0,0,0,0,148,147,4,13,143,0.889327141251564,0.836175798843092,0.934891414998303,966,1208.15960912052,159,148,0.895269868903874,0.973793513818914,0.975383198421016,1,0.895269868903874,0.975383198421016,0.975460122699387,1,1,"CRC","IBD","MVP","either","Microscopic exam","0.262","0.943 (0.90 - 0.98)","1.000 (0.98 - 1.00)","0.979","1.000","0.980","0.971","0.989","0.962","0.889"
"invasive crc","ibd","MVP","both","either",149,607,0.245469522240527,0.963210702341137,0.943432988813974,0.980324817647116,0.966442953020134,0.934640522875817,0.993103448275862,0.986899563318777,0.980349344978166,0.994186681222707,0.96,0.940789329085132,0.981915935750777,0.989059080962801,0.978901844015164,0.997733553404815,0.245469522240527,0.245469522240527,0.245469522240527,0.951198387508816,0.925277365059367,0.973965733043176,0.97441625445455,0.962603663697617,0.986414519612234,0.989272085823313,0.978575410074871,0.997827802151772,307,150,157,144,0,5,0,6,0,4,148,147,4,13,143,0.889327141251564,0.836732696741484,0.934880366536569,966,1208.15960912052,149,158,0.923428638625298,0.989015995029777,0.955023945245015,0.998463336813674,0.923428638625298,0.955023945245015,0.993103448275862,0.998463336813674,1,"CRC","IBD","MVP","both","Microscopic exam","0.245","0.966 (0.92 - 0.99)","0.987 (0.96 - 1.00)","0.989","0.960","0.989","0.963","0.974","0.951","0.889"
"invasive crc","ibd","MVP","either_small","either",NA,NA,0.250500912774389,0.926986399427344,0.888062292591894,0.961038961038961,0.920725204408105,0.858992714669148,0.973856209150327,0.978019366720133,0.964501174536446,0.990361917395895,0.933333333333333,0.891025641025641,0.970802919708029,0.973623514104915,0.950789927390412,0.991524167080073,0.250500912774389,0.233760140137218,0.269481637945552,0.902841371937899,0.851576628084075,0.948226708712231,0.953158471943996,0.928495233447518,0.974409348769486,0.973844108847291,0.948031360572939,0.992101143536908,307,150,157,140,0,6,2,10,0,3,146,147,4,13,143,0.889327141251564,0.837003843948436,0.93487207772922,966,1208.15960912052,148,159,0.862651103172818,0.957402222105277,0.9458520779755,0.996091949663175,0.858992714669148,0.9458520779755,0.973856209150327,0.996091949663175,1,"CRC","IBD","MVP","either_small","Microscopic exam","0.251","0.921 (0.86 - 0.97)","0.978 (0.95 - 1.00)","0.974","0.933","0.974","0.927","0.953","0.903","0.889"
"invasive crc","ibd","MVP","both_small","either",NA,NA,0.197693574958814,0.851851851851852,0.803347280334728,0.895106304985337,0.958333333333333,0.91869918699187,0.991452991452991,0.928131416837782,0.908256434423076,0.947408915490494,0.766666666666667,0.696551724137932,0.832214765100671,0.989059080962801,0.978824773463576,0.997760594921198,0.197693574958814,0.179795872610472,0.214794069192751,0.818488995692817,0.764868546940235,0.869227960883825,0.864841910203451,0.818565242964944,0.905033342013174,0.991853360488798,0.983355528152733,0.99838858055188,307,150,157,115,0,5,0,35,0,4,148,147,4,13,143,0.889327141251564,0.836926960161181,0.934863786811508,966,1208.15960912052,120,187,0.905441200024063,0.98633461588321,0.884054647312737,0.962467431923296,0.905441200024063,0.884054647312737,0.991452991452991,0.962467431923296,1,"CRC","IBD","MVP","both_small","Microscopic exam","0.198","0.958 (0.91 - 0.99)","0.928 (0.88 - 0.96)","0.992","0.767","0.989","0.852","0.865","0.818","0.889"
